import adsk.core; app=adsk.core.Application.get(); ui=app.userInterface; print('FUSION_COMMAND_CATALOG_BEGIN'); print(chr(10).join([ui.commandDefinitions.item(i).id+chr(9)+ui.commandDefinitions.item(i).name for i in range(ui.commandDefinitions.count)])); print('FUSION_COMMAND_CATALOG_END') 
FUSION_COMMAND_CATALOG_BEGIN
AlertCommand	Alert
ViewWidgetCommand	View
ShowViewCubeCommand	Show ViewCube
HideViewCubeCommand	Hide ViewCube
FindInWindow	Find in Window
FindInBrowser	Find in Browser
VisibilityOverrideCommand	Object Visibility
GroundPlaneOffsetCommand	Ground Plane Offset
ShowWorkspaceFullScreenCommand	Enter Full Screen
ShowWorkspaceNormalCommand	Exit Full Screen
DashboardModeOpenCommand	Show Data Panel
DashboardModeCloseCommand	Hide Data Panel
DashboardModeSwitchCommand	Show Data Panel
ActivateProjectFilterCommand	Activate Project Filter
ShowActivityFeedCommand	Show Comments
HideActivityFeedCommand	Hide Comments
ShowFusionHomeCmd	Show Home
ReturnToEnvironmentCommand	Return to Previous Workspace
CycleWorkspacesForwardCommand	Cycle Workspaces Forward
CycleWorkspacesBackwardCommand	Cycle Workspaces Backward
StartTranscriptingCommand	Start Transcripting
StartPerfTranscriptingCommand	Start Performance Transcripting
StopTranscriptingCommand	Stop Transcripting
ReplayTranscriptCommand	Replay Transcript
ShowDebugDialogCommand	Show Debug Dialog
HideDebugDialogCommand	Hide Debug Dialog
ShowCommandPaletteCommand	Show Command Palette
HideCommandPaletteCommand	Hide Command Palette
DestroyDebugDialogCommand	Destroy Debug Dialog
ShowQMLCommandPaletteCommand	Show Command Palette
HideQMLCommandPaletteCommand	Hide Command Palette
ShowQMLCommandPropertyPaletteCommand	Show Property Command Palette
HideQMLCommandPropertyPaletteCommand	Hide Command Property Palette
ShareSheetsCommand	Share Screenshot
ViewDisplayCommand	Display Settings
ViewEffectCommand	Effects
ViewGraphicsPresetCommand	Graphics Preset
ViewDomeCommand	Environment Dome
ViewGroundPlaneCommand	Ground Plane
ViewGroundShadowCommand	Ground Shadow
ViewGroundReflectionCommand	Ground Reflection
ViewAmbientOcclusionCommand	Ambient Occlusion
ViewNPREffectCommand	NPR Effect
ViewEnvCommand	Environment
ViewMSAACommand	Anti-Aliasing
ViewSelectionEffectCommand	Selection Effect
ViewVisualStyleCommand	Visual Style
ViewCameraCommand	Camera
ViewObjectShadowCommand	Object Shadow
ViewColorCyclingOnCmd	Component Color Cycling On
ViewColorCyclingOffCmd	Component Color Cycling Off
ViewColorCyclingToggleCmd	Display Component Colors
ViewLayoutGridOnCommand	Layout Grid
ViewLayoutGridLockCommand	Layout Grid Lock
ToggleGridSnapCommand	Snap to Grid
ViewLayoutGridCommand	Grid and Snaps
DefineGridCmd	Grid Settings
InCanvasRenderCommand	In-canvas Render
InCanvasRenderSettingsCommand	In-canvas Render Settings
SplitViewWindowSyncCommand	Viewports
SplitViewWindowSyncOnCommand	Synchronize Views
SplitViewCommand	Split View
SingleViewCmd	Single View
MultiViewCmd	Multiple Views
SplitViewResetCmd	Reset Views
SplitViewVisualStyleCommand	Visual Style
SplitViewCameraCommand	Camera
AddNamedViewCommand	New Named View
RemoveNamedViewCommand	Delete
UpdateNamedViewCameraCommand	Update Named View
UpdateNamedViewNameCommand	Update Named View Name
RestoreCameraCommand	Restore Named View
NotifyAutoSaveFilesCommand	Recover Documents (1)
HomeCommand	Home
GoBackwardCommand	Back
GoForwardCommand	Forward
RefreshCommand	Refresh
UserDisplayNameCommand	no user logged in
CurrentlyOpenPagesCommand	My Active Pages
CloseAllDocumentTabsCommand	Close All
CloseDocumentTabCommand	Close
CycleTabsForwardCommand	Show Next Tab
CycleTabsBackwardCommand	Show Previous Tab
GoToMyProfileCommand	My Profile
GoToMyAccountCommand	Autodesk Account
SubscribeNowCommand	Subscribe Now
MyCloudCommand	My Cloud
UserHubsCommand	Switch Team
JoinTeamCommand	Join Team
OldUserToTeamFromInviteCommand	Old User To Team From Invite
PersonalHubRetirementCommand	Personal HubRetirement
QontextLogoutCommand	Sign Out
CloseAllDocumentsAndLogoutCommand	Close All and Sign Out
TryToBuyCommand	Expired: Subscribe Now
PurchasePackCommand	Purchase
ExtensionTrialCommand	Trial
AutoLoginCommand	auto login
MockLoginCommand	auto login
HealthStatusCommand	0 E - 0 W
BasicAccessCommand	Basic Access
SimpleSharingPublicLinkCommand	Share File Link
BrowserExpandCmd	Expand/Collapse
A360RenderCommand	Render
CopyDocumentsCommand	Copy documents
MoveDocumentsCommand	Move documents
TransferToTeamHubCommand	Transfer files from personal to team hub
MarkDocumentsForOpenCommand	Mark documents for open
HistoryCommand	Show History
TeamSwitcherCommand	Show Team Switcher
WalkthroughCommand	Take a Tour
GuideCloseCommand	Close Guide
GuideOpenCommand	Open Guide
RequestTrialCommand	Upgrade to a Fusion subscription
MoreHelpCommand	More Help
